IDENTIFIANT_BATIMENT,NOM_HISTORIQUE ,TYPOLOGIE_SPECIFIQUE,CIVIQUE_MIN,CIVIQUE,TYPE_DE_VOIE,CIVIQUE_MAX,LIEN,VOIE,EST_OUEST,ARRONDISSEMENT,HISTORIQUE_SOMMAIRE ,DEBUT_DES_TRAVAUX,FIN_DES_TRAVAUX,CENTRO_X,CENTRO_Y
9938-61-9648-02,Édifice Belding-Corticelli Limited,Atelier / entrepôt / usine / garage,1790,1790,rue,1790,du,Canal,,Le Sud-Ouest (Montréal),,NULL,NULL,-73.565366,45.485098
9938-82-4038-01,Édifice Les Sucres Redpath Limitée,indéterminée,1750,1750,rue,1750,du,Canal,,Le Sud-Ouest (Montréal),,NULL,NULL,-73.562641,45.485921
9938-82-4038-02,Édifice Les Sucres Redpath Limitée,Atelier / entrepôt / usine / garage,1750,1750,rue,1750,du,Canal,,Le Sud-Ouest (Montréal),,NULL,NULL,-73.563370,45.486053
9938-61-9648-03,Édifice Belding-Corticelli Limited,Atelier / entrepôt / usine / garage,1755,1755,rue,1755,,Saint-Patrick,,Le Sud-Ouest (Montréal),,NULL,NULL,-73.564283, 45.485050
9736-36-0591-01,5524 rue Saint-Patrick ,indéterminée,5524,5524,rue,5530,,Saint-Patrick,,Le Sud-Ouest (Montréal),,NULL,NULL,NULL,NULL
9736-36-0591-02,5530 rue Saint-Patrick ,indéterminée,5524,5530,rue,5530,,Saint-Patrick,,Le Sud-Ouest (Montréal),,NULL,NULL,NULL,NULL
9940-55-2067-01,Édifice Blumenthal,Bâtiment commercial ou de bureaux,305,305-307,rue,307,,Sainte-Catherine,Ouest,Ville-Marie (Montréal),,1910,1911,-73.566902,45.506748
9940-46-3307-01,Église unie St. James,Édifice de culte,463,463,rue,463,,Sainte-Catherine,Ouest,Ville-Marie (Montréal),,1887,1889,-73.568466,45.505323
9940-22-3146-01,Cathédrale Christ Church,Édifice de culte,625,635,rue,635,,Sainte-Catherine,Ouest,Ville-Marie (Montréal),,1857,1860,-73.570091,45.503710
9940-21-2055-01,Restaurant L'Île-de-France,Restaurant,677,677,rue,677,,Sainte-Catherine,Ouest,Ville-Marie (Montréal),,1930,1931,-73.570430,45.503055
9839-73-5092-01,Église St James the Apostle,Édifice de culte,1439,1439,rue,1439,,Sainte-Catherine,Ouest,Ville-Marie (Montréal),,NULL,NULL,-73.576965,45.496518
9839-61-4338-01,Faubourg Saint-Catherine,indéterminée,1608,1608-1616,rue,1616,,Sainte-Catherine,Ouest,Ville-Marie (Montréal),,NULL,NULL,-73.578351,45.494199
9838-27-7383-01,Théâtre Séville,Théâtre / auditorium / cinéma,2153,2153-2159,rue,2159,,Sainte-Catherine,Ouest,Ville-Marie (Montréal),,1928,0,-73.583134,45.490947
9839-61-6120-01,Couvent des Soeurs Grises (dépendances),Atelier / entrepôt / usine / garage,1211,1211-1215,rue,1215,,Saint-Mathieu,,Ville-Marie (Montréal),,1869,1925,-73.577905,45.494111
9940-87-8880-01,Monument National,Théâtre / auditorium / cinéma,1166,1166-1182,boulevard,1182,,Saint-Laurent,,Ville-Marie (Montréal),,1891,1894,-73.562398,45.508938
9941-31-6346-01,Édifice Joseph-Arthur-Godin,Immeuble de rapport,2110,2110,boulevard,2122,,Saint-Laurent,,Ville-Marie (Montréal),,1914,1915,-73.569161,45.512228
9941-50-0831-01,Manufacture Louis-Ovide-Grothé,Atelier / entrepôt / usine / garage,2004,2000-2012,boulevard,2004,,Saint-Laurent,,Ville-Marie (Montréal),,1906,0,-73.567114,45.511186
9839-31-8810-01,<i>The Catholic Centre</i>,indéterminée,2005,2005,rue,2005,,Saint-Marc,,Ville-Marie (Montréal),,NULL,NULL,-73.581753,45.493803
9941-32-9445-01,Monastère du Bon-Pasteur,Édifice religieux,56,56-104,rue,104,,Sherbrooke,Est,Ville-Marie (Montréal),,1846,1903,-73.568555,45.513297
9941-43-4643-01,170 rue Sherbrooke Est,indéterminée,170,170,rue,170,,Sherbrooke,Est,Ville-Marie (Montréal),,NULL,NULL,-73.568127,45.514240
9941-44-7851-01,Mont-Saint-Louis,Collège / université,230,230-260,rue,260,,Sherbrooke,Est,Ville-Marie (Montréal),,1887,1888,-73.567669,45.514934
9941-45-9545-01,Maison Louis-Fréchette,Maison contiguë,306,306,rue,306,,Sherbrooke,Est,Ville-Marie (Montréal),,1879,0,-73.567543,45.515865
9941-57-4708-01,430 rue Sherbrooke Est,indéterminée,430,430,rue,430,,Sherbrooke,Est,Ville-Marie (Montréal),,NULL,NULL,-73.566884,45.517321
9941-57-5124-01,Maison Arthur-Dubuc,Maison contiguë,434,434-438,rue,438,,Sherbrooke,Est,Ville-Marie (Montréal),,1894,0,-73.566820,45.517502
9942-75-2518-01,Bibliothèque Centrale de Montréal,Bibliothèque,1210,1210,rue,1212,,Sherbrooke,Est,Ville-Marie (Montréal),,1914,1917,-73.565042,45.522608
9942-86-4025-01,Hôpital Notre-Dame,Hôpital ou clinique,1560,1560,rue,1560,,Sherbrooke,Est,Ville-Marie (Montréal),,NULL,NULL,-73.563536,45.525905
9943-94-3058-01,2250-2252 rue Sherbrooke Est,indéterminée,2250,2250-2252,rue,2252,,Sherbrooke,Est,Ville-Marie (Montréal),,NULL,NULL,-73.561891,45.532994
9839-78-5244-01,Maison Lord-Atholstan,Maison semi-détachée,1172,1172,rue,1188,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1894,1895,-73.577106,45.500868
9839-69-8310-01,Club Mount Royal,Club privé,1175,1175,rue,1175,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1904,1906,-73.577898,45.501119
9839-68-6687-01,Maison Louis-Joseph-Forget,Maison isolée,1195,1195,rue,1195,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1883,0,-73.578015,45.500837
9839-68-5571-01,Maison James Reid-Wilson,Maison isolée,1201,1201,rue,1201,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1882,0,-73.578148,45.500691
9839-21-8797-01,Temple maçonnique de Montréal,Club privé,1850,1850,rue,1850,,Sherbrooke,Ouest,Ville-Marie (Montréal),,NULL,NULL,-73.582974,45.494695
9839-12-6740-01,Tours du fort des Messieurs de Saint-Sulpice,Édifice religieux,2065,2065,rue,2065,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1684,1686,-73.58458,45.493817
9839-12-6740-02,Ermitage,Centre communautaire / sportif,1931,1931,rue,1931,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1911,1913,-73.585395,45.495803
9839-12-6740-05,Résidence des soeurs de la Sainte-Famille,Édifice religieux,1931,1931,rue,1931,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1909,0,-73.585304,45.495164
9839-12-6740-04,Collège de Montréal,École,1931,1931,rue,1931,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1868,1871,-73.58495,45.494552
9839-12-6740-03,Grand Séminaire de Montréal,Édifice religieux,2065,2065,rue,2065,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1854,1857,-73.585506,45.494099
9839-12-6740-06,Résidence des employés du Collège de Montréal,Maison isolée,3576,3576,chemin,3576,de la,Côte-des-Neiges,,Ville-Marie (Montréal),,1870,0,-73.586576, 45.495926
9839-12-6740-07,Chaufferie du Collège de Montréal,Atelier / entrepôt / usine / garage,1931,1931,rue,1931,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1870,0,-73.586494,45.494838
9839-12-6740-08,Bassin du Grand Séminaire de Montréal,Élément d'aménagement paysager,2065,2065,rue,2065,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1801,0,-73.587542,45.492854
9839-12-6740-09,Aile ouest du Grand Séminaire,Édifice religieux,2065,2065,rue,2065,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1875,1877,-73.586196,45.493519
9839-12-6740-10,Aile du Centenaire du Grand Séminaire,École,2065,2065,rue,2065,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1940,0,-73.586029,45.494035
9839-12-6740-11,Bâtiment secondaire du Grand Séminaire,Bâtiment agricole,2121,2121,rue,2121,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1880,0,-73.585280,45.493233
9739-81-9524-01,Maison-mère des Petites Filles de Saint-Joseph,Édifice religieux,2333,2333,rue,2333,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1910,1911,-73.588226,45.491887
9738-97-3718-01,Maison-mère des soeurs de la Congrégation de Notre-Dame,Édifice religieux,3040,3040,rue,3040,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1904,1908,-73.588071,45.489762
9738-97-3718-02,Bâtiment annexe des soeurs de la Congrégation de Notre-Dame,Atelier / entrepôt / usine / garage,4001,4021,boulevard,4021,,De Maisonneuve,Ouest,Ville-Marie (Montréal),,1910,0,-73.588062, 45.488616
9738-97-3718-03,Kiosques des soeurs de la Congrégation de Notre-Dame,Élément d'aménagement paysager,3040,3040,rue,3040,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1910,0,-73.588532,45.489078
9839-35-2708-01,Maison David-Lewis,Maison isolée,3424,3424,rue,3424,,Simpson,,Ville-Marie (Montréal),,1867,1868,-73.582466,45.497457
0041-30-6557-01,Église Saint-Sauveur,Édifice de culte,329,329-375,avenue,375,,Viger,Est,Ville-Marie (Montréal),,NULL,NULL,-73.556272,45.511445
0039-36-1850-01,Maison Abner-Bagg,Maison contiguë,682,682,rue,682,,William,,Ville-Marie (Montréal),,1819,1821,-73.556869,45.498794
9739-34-1358-01,Appartements Trafalgar,Tour d'habitation,3980,3980-3982,chemin,3982,de la,Côte-des-Neiges,,Ville-Marie (Montréal),,1930,1931,-73.595843, 45.495020
9739-44-2146-01,Appartements Gleneagles,Tour d'habitation,3940,3940-3946,chemin,3946,de la,Côte-des-Neiges,,Ville-Marie (Montréal),,1929,1930,-73.594124,45.494992
9739-34-5563-01,Maison Sparrow,Maison isolée,3970,3970,chemin,3970,de la,Côte-des-Neiges,,Ville-Marie (Montréal),,1910,0,-73.595191, 45.495018
9739-34-8066-01,Maison Thompson,Maison isolée,3956,3956,chemin,3956,de la,Côte-des-Neiges,,Ville-Marie (Montréal),,1907,0,-73.594949, 45.495155
0039-08-8689-00,Immeuble Wilson Chambers,indéterminé,500,500-510,rue,510,,McGill,,Ville-Marie (Montréal),,1868,1869,-73.5599,45.5009
0040-24-7505-01,Ancien siège social de la Banque du Peuple,non applicable,53,53-57,rue,57,,Saint-Jacques,,Ville-Marie (Montréal),"En 1871-1872, la Banque du Peuple fait construire son siège social sur un lot vacant acquis au printemps 1871 de l'avocat et homme d'affaires Henry Judah. L'immeuble de trois étages, oeuvre de l'architecte Henri-Maurice Perrault, s'insère alors parmi les nouveaux bâtiments de ce tronçon de la rue Saint-Jacques élargi à la fin des années 1860. De 1872 au début des années 1890, la Banque du Peuple en est l'unique occupant. 

Vingt ans à peine après la construction initiale, la Banque du Peuple manque d'espace. En 1893-1894, elle fait construire sur le même site un immeuble de bureaux de sept étages. L'édifice occupe trois lots et intègre la façade du bâtiment de 1871-1872, laquelle constitue dorénavant la partie inférieure ouest de l'édifice. Les architectes Perrault, Mesnard et Venne reproduisent d'ailleurs en partie cette façade dans les autres sections du nouvel immeuble afin d'harmoniser la composition architecturale.",1871,1872,-73.5574,45.5054
9941-20-7381-1,Maison Charles John-Brydges,Maison contiguë,81,81,rue,81,,Sherbrooke,Ouest,Ville-Marie (Montréal),,1867,0,-73.570206,45.511492
9940-94-1807-02,Presbytère de la Mission-catholique-chinoise-du-Saint-Esprit,Édifice religieux,205,205-211,rue,211,,De La Gauchetière,Ouest,Ville-Marie (Montréal),,1840,1845,-73.562182, 45.505459
2000-01-0101-00,Hôtel Vaudreuil,indéterminé,189,,rue,251,,Saint-Paul,Est,Ville-Marie (Montréal),,9999,,NULL,NULL
2000-01-0102-00,Fortification,non applicable,175,,rue,275,,Notre-Dame,Est,Ville-Marie (Montréal),,9999,,NULL,NULL
2000-01-0103-00,Marché Sainte-Anne,indéterminé,105,,rue,355,,McGill,,Ville-Marie (Montréal),,9999,,NULL,NULL
0040-20-9351-01,Édifice Corn Exchange,non applicable,261,261,rue,261,du,Saint-Sacrement,,Ville-Marie (Montréal),NULL,1865,1866,-73.5574,45.5024
0040-40-1592-01,"415, rue Saint Éloi",indéterminé,415,415,rue,415,,Saint-Éloi,,Ville-Marie (Montréal),NULL,1833,1834,-73.5557,45.5027
0040-65-6775-01,Immeuble Norbert-Dumas,indéterminé,133,133,rue,133,de la,Commune,Est,Ville-Marie (Montréal),NULL,1846,,-73.5523,45.507
0040-65-5442-01,Maison-magasin Étienne-et-Alexandre-Roy,maison-magasin,114,114,rue,114,,Saint-Paul,Est,Ville-Marie (Montréal),NULL,1817,,-73.5528,45.5068
0040-65-5442-02,Immeuble François-Xavier Brazeau,non applicable,115,115,rue,115,de la,Commune,Est,Ville-Marie (Montréal),NULL,1846,,-73.5525,45.5067
0039-38-7893-01,Maison-magasin Paschal-Persillier-Lachapelle I,maison-magasin,358,358-364,rue,364,,Saint-Paul,Ouest,Ville-Marie (Montréal),NULL,1841,,-73.5563,45.501
0039-38-7893-02,Maison-magasin Paschal-Persillier-Lachapelle II,maison-magasin,357,357-359,place,359,,D'Youville,,Ville-Marie (Montréal),NULL,1842,,-73.556,45.5009
0040-68-5646-01,Le 334 Notre-Dame,non applicable,334,334-338,rue,338,,Notre-Dame,Est,Ville-Marie (Montréal),NULL,2003,2005,-73.5527,45.5096
9999-22-0019-01,Maison sur Sébastopol,,430,422-444,rue,430,de,Sébastopol,,Le Sud-Ouest (Montréal),NULL,1857,0,-73.555386, 45.481763
9999-19-0009-01,Dépendance de la maison Le Ber-Le Moyne,,1,1,chemin,1,du,Musée,,Lachine (Montréal),NULL,1669,0,-73.666658, 45.429609
0040-11-2008-00,Hôtel Westin,gratte-ciel,260,,rue,340,,Saint-Antoine,Ouest,Ville-Marie (Montréal),NULL,2006,2009,-73.559916,45.503221
9999-19-0007-01,Marché de Lachine,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Lachine (Montréal),NULL,1929,1929,NULL,NULL
9999-19-0006-01,Station de pompage Lachine,,4810,4810,boulevard,4810,,Saint-Joseph,,Lachine (Montréal),NULL,1950,1951,-73.709474, 45.436595
9999-19-0004-01,Entrepôt de la brasserie Dawes &#38; Co.,,2875,2875,boulevard,2875,,Saint-Joseph,,Lachine (Montréal),NULL,1861,0,-73.689477, 45.433387
9999-19-0005-01,Pavillon Benoît-Verdickt,,1,1,chemin,1,du,Musée,,Lachine (Montréal),NULL,1950,0,-73.666337, 45.430085
9999-02-0019-01,Maison du jardinier,,9436,9436,boulevard,9436,,Gouin,Ouest,Pierrefonds-Roxboro (Montréal),NULL,1920,0,-73.764591, 45.506566
9999-41-0017-01,Maison des employés du domaine du Bois-de-la-Roche,,297,297,chemin,297,,Senneville,,Senneville,NULL,1933,0,-73.949629, 45.445905
9999-41-0015-01,Maison Eustache-Rouleau,Maison isolée,292,294,chemin,294,,Senneville,,Senneville,NULL,1836,0,-73.953300, 45.444877
9999-41-0016-01,École du domaine du Bois-de-la-Roche,,295,295,chemin,295,,Senneville,,Senneville,NULL,NULL,NULL,-73.954459, 45.444170
9999-41-0014-01,Maison du fermier du domaine du Bois-de-la-Roche,,292,292,chemin,292,,Senneville,,Senneville,NULL,1900,0,-73.955813, 45.444122
9999-09-0009-01,Maison du chauffeur,,9185,9185,boulevard,9185,,Gouin,Ouest,Ahuntsic-Cartierville (Montréal),NULL,1931,0,-73.746936, 45.515054
9999-02-0018-01,Maison Jacques-Richer dit Louveteau,Maison isolée,163,163,chemin,163,du,Cap-Saint-Jacques,,Pierrefonds-Roxboro (Montréal),NULL,1835,0,-73.921696, 45.468609
9999-41-0013-01,Atelier du domaine du Bois-de-la-Roche,,295,295,chemin,295,,Senneville,,Senneville,NULL,1902,0,-73.953783, 45.444140
9999-41-0011-01,Grange-étable du domaine du Bois-de-la-Roche,,292,292,chemin,292,,Senneville,,Senneville,NULL,0,0,-73.955596, 45.444661
9999-41-0012-01,Caveau à légumes du domaine du Bois-de-la-Roche,,295,295,chemin,295,,Senneville,,Senneville,NULL,1902,0,-73.954755, 45.444115
9999-02-0017-01,Maison du gardien,,9434,9434,boulevard,9434,,Gouin,Ouest,Pierrefonds-Roxboro (Montréal),NULL,1920,0,-73.764389, 45.506420
9999-41-0010-01,Écurie du domaine du Bois-de-la-Roche,,292,292,chemin,292,,Senneville,,Senneville,NULL,0,0,-73.955949, 45.444475
9999-02-0015-01,Maison Pitfield,,9432,9432,boulevard,9432,,Gouin,Ouest,Pierrefonds-Roxboro (Montréal),NULL,NULL,NULL,-73.763563, 45.506411
9999-02-0016-01,Château Gohier,,231,231,chemin,231,du,Cap-Saint-Jacques,,Pierrefonds-Roxboro (Montréal),NULL,1916,0,-73.944613, 45.463570
9999-02-0014-01,Maison Antoine-Legault dit Deslauriers,Maison isolée,191,191,chemin,191,du,Cap-Saint-Jacques,,Pierrefonds-Roxboro (Montréal),NULL,1860,0,-73.935313, 45.470223
9999-02-0013-01,Maison Thomas-Brunet,Maison isolée,187,187,chemin,187,du,Cap-Saint-Jacques,,Pierrefonds-Roxboro (Montréal),NULL,1834,0,-73.937120, 45.471341
9999-08-0001-01,Maison Stanislas-Jarry,,710,710,rue,710,,Saint-Germain,,Saint-Laurent (Montréal),NULL,1914,0,-73.676098, 45.511456
9999-02-0012-01,Garage du jardinier et du gardien,,9434,9434-9436,boulevard,9436,,Gouin,Ouest,Pierrefonds-Roxboro (Montréal),NULL,1920,0,-73.764568, 45.506412
9999-13-0001-01,Maison Joseph Gagnon,,5345,5345,rue,5345,,Jarry,,Saint-Léonard (Montréal),NULL,NULL,NULL,-73.591808, 45.583942
9999-09-0008-01,Moulin à farine du Sault-au-Récollet,,10897,10897,rue,10897,du,Pont,,Ahuntsic-Cartierville (Montréal),NULL,1727,0,-73.661095, 45.574866
9999-02-0011-01,Maison Edgar-C.-Budge,,13850,13850,boulevard,13850,,Gouin,Ouest,Pierrefonds-Roxboro (Montréal),NULL,1930,0,-73.849341, 45.496762
9999-21-0006-01,Natatorium de Verdun,,6500,6500,boulevard,6500,,LaSalle,,Verdun (Montréal),NULL,1939,1940,-73.576079, 45.443673
9999-19-0003-01,Villa Edgewood,,2901,2901,boulevard,2901,,Saint-Joseph,,Lachine (Montréal),NULL,1862,1863,-73.689907, 45.433373
9999-21-0005-01,Hôtel de ville de Verdun,,4555,4555,rue,4555,de,Verdun,,Verdun (Montréal),NULL,1958,1958,-73.573303, 45.459075
9999-10-0002-01,Maison Brignon dit Lapierre,Maison isolée,4251,4251,boulevard,4251,,Gouin,Est,Montréal-Nord (Montréal),NULL,1770,0,-73.643507, 45.599539
9999-19-0002-01,Brasserie Dawes and Co.,,2801,2801,boulevard,2801,,Saint-Joseph,,Lachine (Montréal),NULL,1861,0,-73.688682, 45.433374
9999-10-0001-01,Hôtel de ville de Montréal-Nord,,4243,4243,rue,4243,de,Charleroi,,Montréal-Nord (Montréal),NULL,1916,1917,-73.637785, 45.594150
9999-16-0002-01,Maison Stanley et Abner Bagg,,543,543,chemin,543,de la,Côte-Sainte-Catherine,,Outremont (Montréal),NULL,1817,0,-73.611109, 45.514469
9999-16-0001-01,Chalet du parc Saint-Viateur,,525,525,avenue,525,,Bloomfield,,Outremont (Montréal),NULL,NULL,NULL,-73.606883, 45.520429
9999-19-0001-01,Hôtel de ville de Lachine,,1800,1800,boulevard,1800,,Saint-Joseph,,Lachine (Montréal),NULL,1914,1916,-73.680989, 45.433324
9999-20-0002-01,Usine Burroughs Wellcome and Company,,55,55,avenue,55,,Dupras,,LaSalle (Montréal),NULL,1930,1932,-73.660991, 45.428351
9999-25-0015-01,Stratearn School,,3680,3680,rue,3680,,Jeanne-Mance,,Le Plateau-Mont-Royal (Montréal),NULL,1912,1913,-73.576233, 45.511502
9999-22-0018-01,Guérite de l'usine de filtration Atwater (aqueduc),,3161,3161,rue,3161,,Joseph,,Le Sud-Ouest (Montréal),NULL,NULL,NULL,-73.572221, 45.470542
9999-14-0006-01,Résidence des clercs de Saint-Viateur,,660,660,rue,660,,Villeray,,Villeray—Saint-Michel—Parc-Extension (Montréal),NULL,1931,0,-73.621466, 45.543258
9999-24-0033-01,Pavillon des Etats-Unis,,0,0,chemin,0,du,Tour-de-l'Isle,,Ville-Marie (Montréal),NULL,1967,0,-73.531360, 45.514098
9999-25-0014-01,Église anglicane de l'Ascension,,5434,5434,avenue,5434,du,Parc,,Le Plateau-Mont-Royal (Montréal),NULL,1904,1905,-73.601739, 45.521619
9999-22-0017-01,Usine de filtration Atwater,,3161,3161,rue,3161,,Joseph,,Le Sud-Ouest (Montréal),NULL,1912,1918,-73.575110, 45.470607
9999-20-0001-01,Chambre de vannes LaSalle,,8970,8970,boulevard,8970,,LaSalle,,LaSalle (Montréal),NULL,1947,1951,-73.631123, 45.415541
9999-22-0016-01,Chambre de vannes no 6 du complexe Atwater,,3161,3161,rue,3161,,Joseph,,Le Sud-Ouest (Montréal),NULL,1918,0,-73.576994, 45.470991
9999-22-0015-01,Chambre de vannes no 5 du complexe Atwater,,3161,3161,rue,3161,,Joseph,,Le Sud-Ouest (Montréal),NULL,1918,0,-73.574446, 45.471389
9999-22-0012-01,Tours d'entrée du complexe Atwater,,3161,3161,rue,3161,,Joseph,,Le Sud-Ouest (Montréal),NULL,1923,1924,-73.571833, 45.472051
9999-22-0013-01,Prise d’urgence du complexe Atwater,,3161,3161,rue,3161,,Joseph,,Le Sud-Ouest (Montréal),NULL,1918,0,-73.573947, 45.473333
9999-22-0014-01,Chambre de vannes no 4 du complexe Atwater,,3161,3161,rue,3161,,Joseph,,Le Sud-Ouest (Montréal),NULL,1918,0,-73.574943, 45.471399
9999-22-0011-01,Entrepôts #3 et #6 du complexe Atwater,,3161,3161,rue,3161,,Joseph,,Le Sud-Ouest (Montréal),NULL,1918,0,-73.572523, 45.472825
9999-24-0031-01,La petite poudrière du dépôt fortifié de l'île Sainte-Hélène,,20,20,chemin,20,du,Tour-de-l'Isle,,Ville-Marie (Montréal),NULL,1820,1823,-73.537108, 45.518917
9999-24-0032-01,Atelier de la cour Côte-des-Neiges,,4180,4180,chemin,4180,de la,Côte-des-Neiges,,Ville-Marie (Montréal),NULL,1940,0,-73.602237, 45.494478
9999-24-0028-01,Entrepôt de la grande poudrière,,40,40,chemin,40,du,Tour-de-l'Isle,,Ville-Marie (Montréal),NULL,1820,1824,-73.534175, 45.518285
9999-24-0029-01,Le lavoir du dépôt fortifié de l'île Sainte-Hélène,,20,20,chemin,20,du,Tour-de-l'Isle,,Ville-Marie (Montréal),NULL,1825,0,-73.536721, 45.519088
9999-24-0030-01,La caserne du dépôt fortifié de l'île Sainte-Hélène,,20,20,chemin,20,du,Tour-de-l'Isle,,Ville-Marie (Montréal),NULL,1820,1823,-73.537000, 45.518526
9999-24-0026-01,L'arsenal du dépôt fortifié de l'île Sainte-Hélène,,20,20,chemin,20,du,Tour-de-l'Isle,,Ville-Marie (Montréal),NULL,1821,1823,-73.536016, 45.519683
9999-24-0027-01,La grande poudrière de l'île Sainte-Hélène,,40,40,chemin,40,du,Tour-de-l'Isle,,Ville-Marie (Montréal),NULL,1820,1824,-73.533885, 45.518467
9999-24-0024-01,Station de pompage de l'île Sainte-Hélène,,180,180,chemin,180,du,Tour-de-l'Isle,,Ville-Marie (Montréal),NULL,1932,0,-73.530587, 45.514820
9999-24-0025-01,Tour de Lévis,,220,220,chemin,220,du,Tour-de-l'Isle,,Ville-Marie (Montréal),NULL,1937,0,-73.533534, 45.517049
9999-24-0023-01,Tonnellerie de la grande poudrière,,40,40,chemin,40,du,Tour-de-l'Isle,,Ville-Marie (Montréal),NULL,1820,1823,-73.534244, 45.518504
9999-17-0005-01,Écurie Notre-Dame-de-Grâce,,2160,2160,avenue,2160,,Madison,,Côte-des-Neiges—Notre-Dame-de-Grâce (Montréal),NULL,1931,1932,-73.621586, 45.463660
9999-27-0011-01,Vespasienne du parc Dupéré (entrepôt),,4010,4010,rue,4010,,Saint-Donat,,Mercier—Hochelaga-Maisonneuve (Montréal),NULL,1931,0,-73.533848, 45.601207
9999-25-0013-01,Bain Schubert,,3950,3950,boulevard,3950,,Saint-Laurent,,Le Plateau-Mont-Royal (Montréal),NULL,1930,0,-73.578828, 45.516457
9999-27-0010-01,Garage de la cour Honoré-Beaugrand,,7944,7944,rue,7944,,Hochelaga,,Mercier—Hochelaga-Maisonneuve (Montréal),NULL,1932,0,-73.524049, 45.593424
9999-24-0022-01,Chalet du parc du Mont-Royal,,1196,1196,voie,1196,,Camillien-Houde,,Ville-Marie (Montréal),NULL,1931,0,-73.587532, 45.503901
9999-27-0009-01,Incinérateur de la cour Dickson,,2200,2200,rue,2200,,Dickson,,Mercier—Hochelaga-Maisonneuve (Montréal),NULL,1954,1955,-73.533164, 45.567046
9999-22-0010-01,Centre de distribution du complexe Atwater,,3161,3161,rue,3161,,Joseph,,Le Sud-Ouest (Montréal),NULL,1922,0,-73.572871, 45.473105
9999-27-0008-01,Caserne #39,,2915,2915,rue,2915,,Monsabré,,Mercier—Hochelaga-Maisonneuve (Montréal),NULL,1914,0,-73.543331, 45.572555
0040-33-9940-01,Projet Orléans,non applicable,457,457-459,rue,459,,Saint-Sulpice,,Ville-Marie (Montréal),NULL,2004,2005,-73.5559,45.5049
0041-83-5247-00,Maisons Art-de-Ville,non applicable,350,350-364,rue,364,,Saint-Hubert,,Ville-Marie (Montréal),NULL,2000,2001,-73.5505,45.5121
0041-83-5020-00,Maisons Art-de-Ville,non applicable,334,334-348,rue,348,,Saint-Hubert,,Ville-Marie (Montréal),NULL,2000,2001,-73.5506,45.5118
0041-82-2991-00,Maisons Art-de-Ville,non applicable,361,361-375,rue,375,,Berri,,Ville-Marie (Montréal),NULL,2000,2001,-73.5509,45.5116
0041-51-3023-00,Le 777,non applicable,777,777,rue,777,,Gosford,,Ville-Marie (Montréal),NULL,2003,2004,-73.5546,45.51
0039-58-6097-00,32-50 rue McGill ,indéterminé,32,32-50,rue,50,,McGill,,Ville-Marie (Montréal),NULL,2003,2005,-73.5543,45.4988
0040-31-0644-00,425 rue Sainte-Hélène ,non applicable,425,425,rue,425,,Sainte-Hélène,,Ville-Marie (Montréal),NULL,2004,2006,-73.5575,45.5012
0039-27-5992-01,Magasin-entrepôt Dominion Block III,magasin-entrepôt,408,408,rue,408,,McGill,,Ville-Marie (Montréal),NULL,1866,1867,-73.5577,45.5001
0039-49-8945-04,Entrepôt Bouthillier II,indéterminé,296,296,place,296,,D'Youville,,Ville-Marie (Montréal),NULL,1827,1828,-73.5548,45.5014
9637-03-7348-01,Maison Descaris,Maison isolée,5138,5138,chemin,5138,de la,Côte-Saint-Antoine,,Côte-des-Neiges—Notre-Dame-de-Grâce (Montréal),,NULL,NULL,-73.611266, 45.478027
9999-22-0009-01,Station de pompage Atwater,,3161,3161,rue,3161,,Joseph,,Le Sud-Ouest (Montréal),NULL,1923,1924,-73.572951, 45.472197
9732-73-2663-01,Maison Alepin,Maison isolée,33,33-35,avenue,35,,Alepin,,LaSalle (Montréal),,1900,1901,-73.589979, 45.433152
9231-35-2998-01,Ancien hôtel de ville de LaSalle,Maison isolée,13,13,avenue,13,,Strathyre,,LaSalle (Montréal),,1908,0,-73.659143, 45.426043
9732-84-9315-01,Maison Penniston,Maison isolée,7525,7525,boulevard,7525,,LaSalle,,LaSalle (Montréal),,1890,1891,-73.587619, 45.433810
9231-61-9897-01,Annexe de la maison De Lorimier-Bélanger,Maison contiguë,9601,9601,boulevard,9601,,LaSalle,,LaSalle (Montréal),,1930,0,-73.654384,45.422445
9231-61-7997-01,Maison De Lorimier-Bélanger,Maison isolée,9603,9603,boulevard,9603,,LaSalle,,LaSalle (Montréal),,1760,0,-73.654533, 45.422491
